Date,Close,Volume
2016-01-04,26.337499618530273,270597600
2016-01-05,25.677499771118164,223164000
2016-01-06,25.174999237060547,273829600
2016-01-07,24.112499237060547,324377600
2016-01-08,24.239999771118164,283192000
2016-01-11,24.63249969482422,198957600
2016-01-12,24.989999771118164,196616800
2016-01-13,24.34749984741211,249758400
2016-01-14,24.8799991607666,252680400
2016-01-15,24.282499313354492,319335600
2016-01-19,24.165000915527344,212350800
2016-01-20,24.197500228881836,289337600
2016-01-21,24.075000762939453,208646000
2016-01-22,25.354999542236328,263202000
2016-01-25,24.860000610351562,207178000
2016-01-26,24.997499465942383,300308000
2016-01-27,23.354999542236328,533478800
2016-01-28,23.522499084472656,222715200
2016-01-29,24.334999084472656,257666000
2016-02-01,24.107500076293945,163774000
2016-02-02,23.6200008392334,149428800
2016-02-03,24.087499618530273,183857200
2016-02-04,24.149999618530273,185886800
2016-02-05,23.5049991607666,185672400
2016-02-08,23.752500534057617,216085600
2016-02-09,23.747499465942383,177324800
2016-02-10,23.5674991607666,169374400
2016-02-11,23.424999237060547,200298800
2016-02-12,23.497499465942383,161405600
2016-02-16,24.15999984741211,196231600
2016-02-17,24.530000686645508,179452800
2016-02-18,24.065000534057617,156084000
2016-02-19,24.010000228881836,141496800
2016-02-22,24.219999313354492,137123200
2016-02-23,23.672500610351562,127770400
2016-02-24,24.024999618530273,145022800
2016-02-25,24.190000534057617,110330800
2016-02-26,24.227500915527344,115964400
2016-02-29,24.172500610351562,140865200
2016-03-01,25.13249969482422,201628400
2016-03-02,25.1875,132678400
2016-03-03,25.375,147822800
2016-03-04,25.752500534057617,184220400
2016-03-07,25.467500686645508,143315600
2016-03-08,25.25749969482422,126247600
2016-03-09,25.280000686645508,108806800
2016-03-10,25.292499542236328,134054400
2016-03-11,25.565000534057617,109632800
2016-03-14,25.6299991607666,100304400
2016-03-15,26.145000457763672,160270800
2016-03-16,26.49250030517578,153214000
2016-03-17,26.450000762939453,137682800
2016-03-18,26.479999542236328,176820800
2016-03-21,26.477500915527344,142010800
2016-03-22,26.68000030517578,129777600
2016-03-23,26.532499313354492,102814000
2016-03-24,26.417499542236328,104532000
2016-03-28,26.297500610351562,77645600
2016-03-29,26.920000076293945,124760400
2016-03-30,27.389999389648438,182404400
2016-03-31,27.247499465942383,103553600
2016-04-01,27.497499465942383,103496000
2016-04-04,27.780000686645508,149424800
2016-04-05,27.452499389648438,106314800
2016-04-06,27.739999771118164,105616400
2016-04-07,27.135000228881836,127207600
2016-04-08,27.165000915527344,94326800
2016-04-11,27.2549991607666,117630000
2016-04-12,27.610000610351562,108929200
2016-04-13,28.010000228881836,133029200
2016-04-14,28.024999618530273,101895600
2016-04-15,27.462499618530273,187756000
2016-04-18,26.8700008392334,243286000
2016-04-19,26.727500915527344,129539600
2016-04-20,26.782499313354492,122444000
2016-04-21,26.49250030517578,126210000
2016-04-22,26.420000076293945,134732400
2016-04-25,26.270000457763672,112126400
2016-04-26,26.087499618530273,224064800
2016-04-27,24.454999923706055,458408400
2016-04-28,23.707500457763672,328970800
2016-04-29,23.434999465942383,274126000
2016-05-02,23.40999984741211,192640400
2016-05-03,23.795000076293945,227325200
2016-05-04,23.547500610351562,164102000
2016-05-05,23.309999465942383,143562000
2016-05-06,23.18000030517578,174799600
2016-05-09,23.197500228881836,131745600
2016-05-10,23.354999542236328,134747200
2016-05-11,23.127500534057617,114876400
2016-05-12,22.584999084472656,305258800
2016-05-13,22.6299991607666,177571200
2016-05-16,23.469999313354492,245039200
2016-05-17,23.372499465942383,187667600
2016-05-18,23.639999389648438,168249600
2016-05-19,23.549999237060547,121768400
2016-05-20,23.80500030517578,128104000
2016-05-23,24.107500076293945,152074400
2016-05-24,24.475000381469727,140560800
2016-05-25,24.905000686645508,152675200
2016-05-26,25.102500915527344,225324800
2016-05-27,25.087499618530273,145364800
2016-05-31,24.96500015258789,169228800
2016-06-01,24.614999771118164,116693200
2016-06-02,24.43000030517578,160766400
2016-06-03,24.479999542236328,114019600
2016-06-06,24.657499313354492,93170000
2016-06-07,24.75749969482422,89638000
2016-06-08,24.735000610351562,83392400
2016-06-09,24.912500381469727,106405600
2016-06-10,24.707500457763672,126851600
2016-06-13,24.334999084472656,152082000
2016-06-14,24.364999771118164,127727600
2016-06-15,24.28499984741211,117780800
2016-06-16,24.387500762939453,125307200
2016-06-17,23.832500457763672,244032800
2016-06-20,23.774999618530273,137647600
2016-06-21,23.977500915527344,142185600
2016-06-22,23.887500762939453,116876400
2016-06-23,24.024999618530273,128960800
2016-06-24,23.350000381469727,301245600
2016-06-27,23.010000228881836,181958400
2016-06-28,23.397499084472656,161779600
2016-06-29,23.600000381469727,146124000
2016-06-30,23.899999618530273,143345600
2016-07-01,23.97249984741211,104106000
2016-07-05,23.747499465942383,110820800
2016-07-06,23.88249969482422,123796400
2016-07-07,23.985000610351562,100558400
2016-07-08,24.170000076293945,115648400
2016-07-11,24.2450008392334,95179600
2016-07-12,24.354999542236328,96670000
2016-07-13,24.217500686645508,103568800
2016-07-14,24.697500228881836,155676000
2016-07-15,24.69499969482422,120548000
2016-07-18,24.957500457763672,145975600
2016-07-19,24.967500686645508,95119600
2016-07-20,24.989999771118164,105104000
2016-07-21,24.857500076293945,130808000
2016-07-22,24.665000915527344,113254800
2016-07-25,24.334999084472656,161531600
2016-07-26,24.167499542236328,224959200
2016-07-27,25.737499237060547,369379200
2016-07-28,26.084999084472656,159479200
2016-07-29,26.052499771118164,110934800
2016-08-01,26.512500762939453,152671600
2016-08-02,26.1200008392334,135266400
2016-08-03,26.447500228881836,120810400
2016-08-04,26.467500686645508,109634800
2016-08-05,26.8700008392334,162213600
2016-08-08,27.092500686645508,112148800
2016-08-09,27.202499389648438,105260800
2016-08-10,27.0,96034000
2016-08-11,26.982500076293945,109938000
2016-08-12,27.045000076293945,74641600
2016-08-15,27.3700008392334,103472800
2016-08-16,27.344999313354492,135177600
2016-08-17,27.30500030517578,101424000
2016-08-18,27.270000457763672,87938800
2016-08-19,27.34000015258789,101472400
2016-08-22,27.127500534057617,103280800
2016-08-23,27.212499618530273,85030800
2016-08-24,27.00749969482422,94700400
2016-08-25,26.892499923706055,100344800
2016-08-26,26.735000610351562,111065200
2016-08-29,26.704999923706055,99881200
2016-08-30,26.5,99455600
2016-08-31,26.524999618530273,118649600
2016-09-01,26.6825008392334,106806000
2016-09-02,26.9325008392334,107210000
2016-09-06,26.924999237060547,107521600
2016-09-07,27.09000015258789,169457200
2016-09-08,26.3799991607666,212008000
2016-09-09,25.782499313354492,186228000
2016-09-12,26.360000610351562,181171200
2016-09-13,26.987499237060547,248704800
2016-09-14,27.9424991607666,443554800
2016-09-15,28.892499923706055,359934400
2016-09-16,28.729999542236328,319547600
2016-09-19,28.395000457763672,188092000
2016-09-20,28.392499923706055,138057200
2016-09-21,28.387500762939453,144012800
2016-09-22,28.655000686645508,124296000
2016-09-23,28.177499771118164,209924800
2016-09-26,28.219999313354492,119477600
2016-09-27,28.272499084472656,98429600
2016-09-28,28.487499237060547,118564400
2016-09-29,28.045000076293945,143548000
2016-09-30,28.262500762939453,145516400
2016-10-03,28.1299991607666,86807200
2016-10-04,28.25,118947200
2016-10-05,28.262500762939453,85812400
2016-10-06,28.47249984741211,115117200
2016-10-07,28.514999389648438,97433600
2016-10-10,29.012500762939453,144944000
2016-10-11,29.075000762939453,256164000
2016-10-12,29.334999084472656,150347200
2016-10-13,29.2450008392334,140769600
2016-10-14,29.407499313354492,142608800
2016-10-17,29.387500762939453,94499600
2016-10-18,29.36750030517578,98214000
2016-10-19,29.280000686645508,80138400
2016-10-20,29.264999389648438,96503200
2016-10-21,29.149999618530273,92770800
2016-10-24,29.412500381469727,94154800
2016-10-25,29.5625,192516000
2016-10-26,28.897499084472656,264536800
2016-10-27,28.6200008392334,138248000
2016-10-28,28.43000030517578,151446800
2016-10-31,28.385000228881836,105677600
2016-11-01,27.872499465942383,175303200
2016-11-02,27.897499084472656,113326800
2016-11-03,27.457500457763672,107730400
2016-11-04,27.209999084472656,123348000
2016-11-07,27.602500915527344,130240000
2016-11-08,27.764999389648438,97016800
2016-11-09,27.719999313354492,236705600
2016-11-10,26.947500228881836,228538000
2016-11-11,27.107500076293945,136575600
2016-11-14,26.427499771118164,204702000
2016-11-15,26.77750015258789,129058000
2016-11-16,27.497499465942383,235362000
2016-11-17,27.487499237060547,110528000
2016-11-18,27.514999389648438,113715600
2016-11-21,27.9325008392334,117058400
2016-11-22,27.950000762939453,103862000
2016-11-23,27.8075008392334,109705600
2016-11-25,27.947500228881836,45903600
2016-11-28,27.892499923706055,108776000
2016-11-29,27.864999771118164,114115200
2016-11-30,27.6299991607666,144649200
